experiment,run,time_ms
A_row_major,1,2.337
A_row_major,2,2.269
A_row_major,3,2.067
A_row_major,4,2.096
A_row_major,5,1.919
A_row_major,6,1.948
A_row_major,7,2.108
A_row_major,8,1.905
B_col_major,1,34.448
B_col_major,2,34.350
B_col_major,3,38.803
B_col_major,4,35.850
B_col_major,5,34.723
B_col_major,6,34.275
B_col_major,7,35.338
B_col_major,8,34.672
C_sequential,1,10.148
C_sequential,2,10.357
C_sequential,3,10.040
C_sequential,4,9.862
C_sequential,5,9.883
C_sequential,6,9.714
C_sequential,7,9.640
C_sequential,8,9.877
D_random,1,208.864
D_random,2,202.438
D_random,3,197.327
D_random,4,196.660
D_random,5,197.311
D_random,6,200.575
D_random,7,198.775
D_random,8,197.993
